"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","Wheel of Fortune: Deluxe Edition","Any%","","","Super Nintendo","USA / NTSC","baldnate",951.0,"2019-12-03","https://www.youtube.com/watch?v=qLQQuQN8uyE","Played on an SNS-001 with an SD2SNES."
"","Boom Blox","Explore Mode","Gem Blox","","Wii","","baldnate",160.0,"2019-07-20","https://www.youtube.com/watch?v=OX-Yai6d32I","Played on a Wii with original disc."
"","Race Drivin' (GB)","Autocross (One Lap)","","","Game Boy","USA / NTSC","baldnate",38.11,"2019-10-27","https://www.youtube.com/watch?v=PgZuYf9YGGA","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"","Race Drivin' (GB)","Stunt (Left Track) (One Lap)","","","Game Boy","USA / NTSC","baldnate",78.2,"2019-10-27","https://www.youtube.com/watch?v=E8uLQP5wO3M","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"","Race Drivin' (GB)","Super Stunt (One Lap)","","","Game Boy","USA / NTSC","baldnate",138.23,"2019-10-27","https://www.youtube.com/watch?v=CgQ_2w2ChSg","Played on an SNS-001 with Super Gameboy 2 and EDGB x7."
"","Ice Trek","1 Loop","","","Intellivision","USA / NTSC","baldnate",213.0,"2018-03-04","https://www.twitch.tv/videos/235403399","None"
"","Ice Trek","1 Loop","","","Intellivision","USA / NTSC","baldnate",207.0,"2018-03-08","https://www.twitch.tv/videos/236784221","None"
"","Ultimate Brain Games","PS","Backgammon","","PlayStation","USA / NTSC","baldnate",160.0,"2020-09-09","https://www.youtube.com/watch?v=ZMIs5jTpZ9s","Played on a SCPH-1001."
"","Ultimate Brain Games","PS","Dominoes","","PlayStation","USA / NTSC","baldnate",108.0,"2019-09-03","https://www.youtube.com/watch?v=o90XQrwbAKg","Played on a SCPH-1001. "
"","Life, Yahtzee, Payday","Life","","","Game Boy Advance","USA / NTSC","baldnate",292.0,"2019-09-06","https://www.youtube.com/watch?v=CDsw339YuVo","Played on BizHawk (mGBA core)."
"","Astrosmash","20,000 Points","","Top","Intellivision","USA / NTSC","baldnate",296.0,"2018-03-15","https://www.twitch.tv/videos/239270357","None"
"","Astrosmash","100,000 Points","","Top","Intellivision","USA / NTSC","baldnate",1114.0,"2018-03-15","https://www.twitch.tv/videos/239270761","None"
"","Astrosmash","20,000 Points","","Top","Intellivision","USA / NTSC","baldnate",285.0,"2018-07-17","https://www.youtube.com/watch?v=mkOu7XR9Mi8","Played on BizHawk.  Used new strats learned from Doug_Parsons_DJP's TG record video."
